scientific name,English name,number of people seeing species
Thamnophilus melanonotus,Black-backed Antshrike,1
Thamnophilus melanothorax,Band-tailed Antshrike,0
Thamnophilus amazonicus,Amazonian Antshrike,1
Thamnophilus insignis,Streak-backed Antshrike,0
Thamnophilus divisorius,Acre Antshrike,0
Rhopias gularis,Star-throated Antwren,0
Megastictus margaritatus,Pearly Antshrike,0
Neoctantes niger,Black Bushbird,1
Clytoctantes alixii,Recurve-billed Bushbird,0
Clytoctantes atrogularis,Rondonia Bushbird,0
Thamnistes anabatinus,Russet Antshrike,9
Thamnistes rufescens,Rufescent Antshrike,0
Dysithamnus stictothorax,Spot-breasted Antvireo,0
Dysithamnus mentalis,Plain Antvireo,14
Dysithamnus striaticeps,Streak-crowned Antvireo,7
Dysithamnus puncticeps,Spot-crowned Antvireo,9
Dysithamnus xanthopterus,Rufous-backed Antvireo,0
Dysithamnus occidentalis,Bicolored Antvireo,1
Dysithamnus plumbeus,Plumbeous Antvireo,0
Dysithamnus leucostictus,White-streaked Antvireo,2
Thamnomanes ardesiacus,Dusky-throated Antshrike,7
Thamnomanes saturninus,Saturnine Antshrike,0
Thamnomanes caesius,Cinereous Antshrike,4
Thamnomanes schistogynus,Bluish-slate Antshrike,3
Xenornis setifrons,Spiny-faced Antshrike,0
Isleria hauxwelli,Plain-throated Antwren,4
Isleria guttata,Rufous-bellied Antwren,1
Pygiptila stellaris,Spot-winged Antshrike,2
Epinecrophylla fulviventris,Checker-throated Antwren,15
Epinecrophylla gutturalis,Brown-bellied Antwren,1
Epinecrophylla leucophthalma,White-eyed Antwren,3
Epinecrophylla pyrrhonota,Fulvous-throated Antwren,1
Epinecrophylla haematonota,Rufous-backed Antwren,1
Epinecrophylla amazonica,Madeira Antwren,1
Epinecrophylla fjeldsaai,Brown-backed Antwren,0
Epinecrophylla spodionota,Foothill Antwren,3
Epinecrophylla ornata,Ornate Antwren,5
Epinecrophylla erythrura,Rufous-tailed Antwren,2
Myrmotherula brachyura,Pygmy Antwren,4
Myrmotherula ignota,Moustached Antwren,6
Myrmotherula ambigua,Yellow-throated Antwren,0
Myrmotherula sclateri,Sclater's Antwren,1
Myrmotherula surinamensis,Guianan Streaked-Antwren,1
Myrmotherula multostriata,Amazonian Streaked-Antwren,3
Myrmotherula pacifica,Pacific Antwren,6
Myrmotherula cherriei,Cherrie's Antwren,0
Myrmotherula klagesi,Klages's Antwren,0
Myrmotherula longicauda,Stripe-chested Antwren,2
Myrmotherula axillaris,White-flanked Antwren,20
Myrmotherula schisticolor,Slaty Antwren,16
Myrmotherula sunensis,Rio Suno Antwren,1
Myrmotherula minor,Salvadori's Antwren,0
Myrmotherula longipennis,Long-winged Antwren,3
Myrmotherula urosticta,Band-tailed Antwren,0
Myrmotherula iheringi,Ihering's Antwren,1
Myrmotherula fluminensis,Rio de Janeiro Antwren,0
Myrmotherula grisea,Ashy Antwren,0
Myrmotherula unicolor,Unicolored Antwren,0
Myrmotherula snowi,Alagoas Antwren,0
Myrmotherula behni,Plain-winged Antwren,0
Myrmotherula menetriesii,Gray Antwren,6
Myrmotherula assimilis,Leaden Antwren,0
Dichrozona cincta,Banded Antbird,2
Myrmorchilus strigilatus,Stripe-backed Antbird,0
Herpsilochmus sellowi,Caatinga Antwren,0
Herpsilochmus pileatus,Bahia Antwren,0
Herpsilochmus atricapillus,Black-capped Antwren,1
Herpsilochmus praedictus,Predicted Antwren,0
Herpsilochmus stotzi,Aripuana Antwren,0
Herpsilochmus motacilloides,Creamy-bellied Antwren,0
Herpsilochmus parkeri,Ash-throated Antwren,1
Herpsilochmus sticturus,Spot-tailed Antwren,1
Herpsilochmus dugandi,Dugand's Antwren,2
Herpsilochmus stictocephalus,Todd's Antwren,1
Herpsilochmus gentryi,Ancient Antwren,0
Herpsilochmus dorsimaculatus,Spot-backed Antwren,0
Herpsilochmus roraimae,Roraiman Antwren,0
Herpsilochmus pectoralis,Pectoral Antwren,0
Herpsilochmus longirostris,Large-billed Antwren,0
Herpsilochmus axillaris,Yellow-breasted Antwren,4
Herpsilochmus rufimarginatus,Rufous-winged Antwren,3
Microrhopias quixensis,Dot-winged Antwren,20
Formicivora iheringi,Narrow-billed Antwren,0
Formicivora erythronotos,Black-hooded Antwren,0
Formicivora grisea,White-fringed Antwren,4
Formicivora serrana,Serra Antwren,1
Formicivora littoralis,Restinga Antwren,0
Formicivora melanogaster,Black-bellied Antwren,0
Formicivora rufa,Rusty-backed Antwren,0
Formicivora grantsaui,Sincora Antwren,0
Stymphalornis acutirostris,Parana Antwren,0
Drymophila ferruginea,Ferruginous Antbird,0
Drymophila rubricollis,Bertoni's Antbird,0
Drymophila genei,Rufous-tailed Antbird,0
Drymophila ochropyga,Ochre-rumped Antbird,1
Drymophila malura,Dusky-tailed Antbird,0
Drymophila squamata,Scaled Antbird,0
Drymophila devillei,Striated Antbird,2
Drymophila caudata,East Andean Antbird,1
Drymophila klagesi,Klages's Antbird,0
Drymophila hellmayri,Santa Marta Antbird,2
Drymophila striaticeps,Streak-headed Antbird,7
Hypocnemis cantator,Guianan Warbling-Antbird,1
Hypocnemis flavescens,Imeri Warbling-Antbird,0
Hypocnemis peruviana,Peruvian Warbling-Antbird,6
Hypocnemis subflava,Yellow-breasted Warbling-Antbird,4
Hypocnemis ochrogyna,Rondonia Warbling-Antbird,0
Hypocnemis striata,Spix's Warbling-Antbird,0
Hypocnemis rondoni,Manicore Warbling-Antbird,0
Hypocnemis hypoxantha,Yellow-browed Antbird,1
Terenura sicki,Orange-bellied Antwren,0
Terenura maculata,Streak-capped Antwren,1
Cercomacroides laeta,Willis's Antbird,0
Cercomacroides parkeri,Parker's Antbird,2
Cercomacroides tyrannina,Dusky Antbird,21
Cercomacroides serva,Black Antbird,3
Cercomacroides nigrescens,Blackish Antbird,1
Cercomacroides fuscicauda,Riparian Antbird,1
Cercomacra manu,Manu Antbird,1
Cercomacra cinerascens,Gray Antbird,3
Cercomacra brasiliana,Rio de Janeiro Antbird,0
Cercomacra melanaria,Mato Grosso Antbird,0
Cercomacra ferdinandi,Bananal Antbird,0
Cercomacra nigricans,Jet Antbird,9
Cercomacra carbonaria,Rio Branco Antbird,0
Pyriglena leuconota,White-backed Fire-eye,3
Pyriglena atra,Fringe-backed Fire-eye,0
Pyriglena leucoptera,White-shouldered Fire-eye,3
Rhopornis ardesiacus,Slender Antbird,0
Myrmoborus leucophrys,White-browed Antbird,4
Myrmoborus lugubris,Ash-breasted Antbird,0
Myrmoborus myotherinus,Black-faced Antbird,6
Myrmoborus melanurus,Black-tailed Antbird,0
Myrmoborus lophotes,White-lined Antbird,2
Hypocnemoides melanopogon,Black-chinned Antbird,2
Hypocnemoides maculicauda,Band-tailed Antbird,1
Myrmochanes hemileucus,Black-and-white Antbird,0
Gymnocichla nudiceps,Bare-crowned Antbird,9
Sclateria naevia,Silvered Antbird,5
Percnostola rufifrons,Black-headed Antbird,0
Percnostola arenarum,Allpahuayo Antbird,0
Myrmelastes schistaceus,Slate-colored Antbird,0
Myrmelastes saturatus,Roraiman Antbird,0
Myrmelastes hyperythrus,Plumbeous Antbird,6
Myrmelastes leucostigma,Spot-winged Antbird,1
Myrmelastes humaythae,Humaita Antbird,0
Myrmelastes brunneiceps,Brownish-headed Antbird,1
Myrmelastes rufifacies,Rufous-faced Antbird,0
Myrmelastes caurensis,Caura Antbird,0
Myrmeciza longipes,White-bellied Antbird,12
Poliocrania exsul,Chestnut-backed Antbird,21
Ampelornis griseiceps,Gray-headed Antbird,1
Sipia laemosticta,Dull-mantled Antbird,5
Sipia palliata,Magdalena Antbird,0
Sipia nigricauda,Esmeraldas Antbird,2
Sipia berlepschi,Stub-tailed Antbird,2
Sciaphylax hemimelaena,Chestnut-tailed Antbird,4
Sciaphylax castanea,Zimmer's Antbird,0
Myrmoderus ferrugineus,Ferruginous-backed Antbird,1
Myrmoderus eowilsoni,Cordillera Azul Antbird,0
Myrmoderus ruficauda,Scalloped Antbird,0
Myrmoderus loricatus,White-bibbed Antbird,0
Myrmoderus squamosus,Squamate Antbird,0
Akletos melanoceps,White-shouldered Antbird,2
Akletos goeldii,Goeldi's Antbird,2
Hafferia fortis,Sooty Antbird,1
Hafferia zeledoni,Zeledon's Antbird,5
Hafferia immaculata,Blue-lored Antbird,1
Aprositornis disjuncta,Yapacana Antbird,0
Myrmophylax atrothorax,Black-throated Antbird,3
Ammonastes pelzelni,Gray-bellied Antbird,0
Myrmornis torquata,Wing-banded Antbird,1
Pithys albifrons,White-plumed Antbird,3
Pithys castaneus,White-masked Antbird,0
Gymnopithys bicolor,Bicolored Antbird,17
Gymnopithys leucaspis,White-cheeked Antbird,1
Gymnopithys rufigula,Rufous-throated Antbird,1
Oneillornis salvini,White-throated Antbird,3
Oneillornis lunulatus,Lunulated Antbird,1
Rhegmatorhina gymnops,Bare-eyed Antbird,0
Rhegmatorhina berlepschi,Harlequin Antbird,0
Rhegmatorhina hoffmannsi,White-breasted Antbird,0
Rhegmatorhina cristata,Chestnut-crested Antbird,0
Rhegmatorhina melanosticta,Hairy-crested Antbird,2
Hylophylax naevioides,Spotted Antbird,16
Hylophylax naevius,Spot-backed Antbird,4
Hylophylax punctulatus,Dot-backed Antbird,2
Willisornis poecilinotus,Common Scale-backed Antbird,5
Willisornis vidua,Xingu Scale-backed Antbird,0
Phlegopsis nigromaculata,Black-spotted Bare-eye,3
Phlegopsis erythroptera,Reddish-winged Bare-eye,0
Phlegopsis borbae,Pale-faced Bare-eye,0
Phaenostictus mcleannani,Ocellated Antbird,14
Melanopareia torquata,Collared Crescentchest,1
Melanopareia maximiliani,Olive-crowned Crescentchest,1
Melanopareia maranonica,Marañon Crescentchest,1
Melanopareia elegans,Elegant Crescentchest,3
Pittasoma michleri,Black-crowned Antpitta,1
Pittasoma rufopileatum,Rufous-crowned Antpitta,0
Conopophaga melanogaster,Black-bellied Gnateater,0
Conopophaga melanops,Black-cheeked Gnateater,0
Conopophaga aurita,Chestnut-belted Gnateater,1
Conopophaga peruviana,Ash-throated Gnateater,3
Conopophaga cearae,Ceara Gnateater,0
Conopophaga roberti,Hooded Gnateater,0
Conopophaga lineata,Rufous Gnateater,3
Conopophaga castaneiceps,Chestnut-crowned Gnateater,2
Conopophaga ardesiaca,Slaty Gnateater,0
Grallaria squamigera,Undulated Antpitta,4
Grallaria gigantea,Giant Antpitta,3
Grallaria excelsa,Great Antpitta,0
Grallaria varia,Variegated Antpitta,0
Grallaria alleni,Moustached Antpitta,4
Grallaria guatimalensis,Scaled Antpitta,5
Grallaria chthonia,Tachira Antpitta,0
Grallaria haplonota,Plain-backed Antpitta,2
Grallaria dignissima,Ochre-striped Antpitta,0
Grallaria eludens,Elusive Antpitta,0
Grallaria ruficapilla,Chestnut-crowned Antpitta,7
Grallaria watkinsi,Watkins's Antpitta,1
Grallaria bangsi,Santa Marta Antpitta,2
Grallaria kaestneri,Cundinamarca Antpitta,0
Grallaria andicolus,Stripe-headed Antpitta,1
Grallaria griseonucha,Gray-naped Antpitta,0
Grallaria rufocinerea,Bicolored Antpitta,1
Grallaria ridgelyi,Jocotoco Antpitta,3
Grallaria nuchalis,Chestnut-naped Antpitta,4
Grallaria carrikeri,Pale-billed Antpitta,0
Grallaria albigula,White-throated Antpitta,0
Grallaria flavotincta,Yellow-breasted Antpitta,4
Grallaria hypoleuca,White-bellied Antpitta,3
Grallaria przewalskii,Rusty-tinged Antpitta,1
Grallaria capitalis,Bay Antpitta,1
Grallaria erythroleuca,Red-and-white Antpitta,2
Grallaria rufula,Rufous Antpitta,7
Grallaria blakei,Chestnut Antpitta,0
Grallaria quitensis,Tawny Antpitta,7
Grallaria urraoensis,Urrao Antpitta,0
Grallaria milleri,Brown-banded Antpitta,1
Grallaria erythrotis,Rufous-faced Antpitta,0
Hylopezus perspicillatus,Streak-chested Antpitta,12
Hylopezus macularius,Spotted Antpitta,1
Hylopezus paraensis,Snethlage's Antpitta,0
Hylopezus whittakeri,Alta Floresta Antpitta,0
Hylopezus auricularis,Masked Antpitta,0
Hylopezus dives,Thicket Antpitta,6
Hylopezus fulviventris,White-lored Antpitta,1
Hylopezus berlepschi,Amazonian Antpitta,1
Hylopezus ochroleucus,White-browed Antpitta,0
Hylopezus nattereri,Speckle-breasted Antpitta,0
Myrmothera campanisona,Thrush-like Antpitta,4
Myrmothera subcanescens,Tapajos Antpitta,0
Myrmothera simplex,Tepui Antpitta,0
Grallaricula flavirostris,Ochre-breasted Antpitta,4
Grallaricula loricata,Scallop-breasted Antpitta,0
Grallaricula cucullata,Hooded Antpitta,1
Grallaricula peruviana,Peruvian Antpitta,0
Grallaricula ochraceifrons,Ochre-fronted Antpitta,1
Grallaricula ferrugineipectus,Rusty-breasted Antpitta,3
Grallaricula leymebambae,Leymebamba Antpitta,1
Grallaricula nana,Slate-crowned Antpitta,5
Grallaricula cumanensis,Sucre Antpitta,0
Grallaricula lineifrons,Crescent-faced Antpitta,3
Pteroptochos castaneus,Chestnut-throated Huet-huet,1
Pteroptochos tarnii,Black-throated Huet-huet,4
Pteroptochos megapodius,Moustached Turca,1
Scelorchilus albicollis,White-throated Tapaculo,1
Scelorchilus rubecula,Chucao Tapaculo,4
Liosceles thoracicus,Rusty-belted Tapaculo,3
Acropternis orthonyx,Ocellated Tapaculo,4
Rhinocrypta lanceolata,Crested Gallito,2
Teledromas fuscus,Sandy Gallito,0
Psilorhamphus guttatus,Spotted Bamboowren,0
Merulaxis ater,Slaty Bristlefront,0
Merulaxis stresemanni,Stresemann's Bristlefront,0
Eugralla paradoxa,Ochre-flanked Tapaculo,0
Myornis senilis,Ash-colored Tapaculo,3
Eleoscytalopus indigoticus,White-breasted Tapaculo,0
Eleoscytalopus psychopompus,Bahia Tapaculo,0
Scytalopus latrans,Blackish Tapaculo,5
Scytalopus gettyae,Junin Tapaculo,0
Scytalopus unicolor,Unicolored Tapaculo,0
Scytalopus parvirostris,Trilling Tapaculo,2
Scytalopus gonzagai,Boa Nova Tapaculo,0
Scytalopus speluncae,Mouse-colored Tapaculo,0
Scytalopus petrophilus,Rock Tapaculo,1
Scytalopus diamantinensis,Diamantina Tapaculo,0
Scytalopus pachecoi,Planalto Tapaculo,0
Scytalopus iraiensis,Marsh Tapaculo,0
Scytalopus macropus,Large-footed Tapaculo,1
Scytalopus sanctaemartae,Santa Marta Tapaculo,2
Scytalopus micropterus,Long-tailed Tapaculo,1
Scytalopus femoralis,Rufous-vented Tapaculo,1
Scytalopus atratus,White-crowned Tapaculo,2
Scytalopus bolivianus,Bolivian Tapaculo,0
Scytalopus panamensis,Tacarcuna Tapaculo,0
Scytalopus chocoensis,Choco Tapaculo,1
Scytalopus rodriguezi,Magdalena Tapaculo,1
Scytalopus stilesi,Stiles's Tapaculo,2
Scytalopus robbinsi,Ecuadorian Tapaculo,1
Scytalopus alvarezlopezi,Tatama Tapaculo,0
Scytalopus vicinior,Nariño Tapaculo,2
Scytalopus latebricola,Brown-rumped Tapaculo,2
Scytalopus perijanus,Perija Tapaculo,1
Scytalopus meridanus,Merida Tapaculo,0
Scytalopus argentifrons,Silvery-fronted Tapaculo,11
Scytalopus caracae,Caracas Tapaculo,0
Scytalopus spillmanni,Spillmann's Tapaculo,4
Scytalopus parkeri,Chusquea Tapaculo,2
Scytalopus novacapitalis,Brasilia Tapaculo,0
Scytalopus magellanicus,Magellanic Tapaculo,3
Scytalopus griseicollis,Pale-bellied Tapaculo,1
Scytalopus altirostris,Neblina Tapaculo,1
Scytalopus affinis,Ancash Tapaculo,0
Scytalopus acutirostris,Tschudi's Tapaculo,1
Scytalopus urubambae,Vilcabamba Tapaculo,0
Scytalopus simonsi,Puna Tapaculo,1
Scytalopus zimmeri,Zimmer's Tapaculo,0
Scytalopus superciliaris,White-browed Tapaculo,1
Scytalopus fuscus,Dusky Tapaculo,0
Scytalopus canus,Paramillo Tapaculo,0
Scytalopus opacus,Paramo Tapaculo,3
Scytalopus schulenbergi,Diademed Tapaculo,1
Formicarius colma,Rufous-capped Antthrush,3
Formicarius analis,Black-faced Antthrush,19
Formicarius rufifrons,Rufous-fronted Antthrush,1
Formicarius nigricapillus,Black-headed Antthrush,3
Formicarius rufipectus,Rufous-breasted Antthrush,5
Chamaeza campanisona,Short-tailed Antthrush,2
Chamaeza nobilis,Striated Antthrush,1
Chamaeza meruloides,Such's Antthrush,0
Chamaeza turdina,Schwartz's Antthrush,1
Chamaeza ruficauda,Rufous-tailed Antthrush,0
Chamaeza mollissima,Barred Antthrush,1
Sclerurus mexicanus,Tawny-throated Leaftosser,4
Sclerurus rufigularis,Short-billed Leaftosser,0
Sclerurus guatemalensis,Scaly-throated Leaftosser,5
Sclerurus caudacutus,Black-tailed Leaftosser,2
Sclerurus albigularis,Gray-throated Leaftosser,4
Sclerurus scansor,Rufous-breasted Leaftosser,0
Geositta peruviana,Coastal Miner,1
Geositta tenuirostris,Slender-billed Miner,1
Geositta cunicularia,Common Miner,6
Geositta punensis,Puna Miner,3
Geositta poeciloptera,Campo Miner,0
Geositta crassirostris,Thick-billed Miner,0
Geositta rufipennis,Rufous-banded Miner,0
Geositta maritima,Grayish Miner,1
Geositta antarctica,Short-billed Miner,1
Geositta saxicolina,Dark-winged Miner,1
Geositta isabellina,Creamy-rumped Miner,0
Certhiasomus stictolaemus,Spot-throated Woodcreeper,0
Sittasomus griseicapillus,Olivaceous Woodcreeper,25
Deconychura longicauda,Long-tailed Woodcreeper,4
Dendrocincla tyrannina,Tyrannine Woodcreeper,5
Dendrocincla merula,White-chinned Woodcreeper,2
Dendrocincla homochroa,Ruddy Woodcreeper,12
Dendrocincla anabatina,Tawny-winged Woodcreeper,8
Dendrocincla fuliginosa,Plain-brown Woodcreeper,22
Dendrocincla turdina,Plain-winged Woodcreeper,2
Glyphorynchus spirurus,Wedge-billed Woodcreeper,22
Dendrexetastes rufigula,Cinnamon-throated Woodcreeper,3
Nasica longirostris,Long-billed Woodcreeper,2
Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,23
Dendrocolaptes certhia,Amazonian Barred-Woodcreeper,5
Dendrocolaptes picumnus,Black-banded Woodcreeper,3
Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,0
Dendrocolaptes platyrostris,Planalto Woodcreeper,1
Hylexetastes stresemanni,Bar-bellied Woodcreeper,1
Hylexetastes perrotii,Red-billed Woodcreeper,0
Xiphocolaptes promeropirhynchus,Strong-billed Woodcreeper,11
Xiphocolaptes falcirostris,Moustached Woodcreeper,0
Xiphocolaptes albicollis,White-throated Woodcreeper,1
Xiphocolaptes major,Great Rufous Woodcreeper,1
Xiphorhynchus obsoletus,Striped Woodcreeper,4
Xiphorhynchus fuscus,Lesser Woodcreeper,1
Xiphorhynchus pardalotus,Chestnut-rumped Woodcreeper,1
Xiphorhynchus ocellatus,Ocellated Woodcreeper,3
Xiphorhynchus elegans,Elegant Woodcreeper,4
Xiphorhynchus spixii,Spix's Woodcreeper,0
Xiphorhynchus susurrans,Cocoa Woodcreeper,22
Xiphorhynchus guttatus,Buff-throated Woodcreeper,8
Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,13
Xiphorhynchus lachrymosus,Black-striped Woodcreeper,14
Xiphorhynchus erythropygius,Spotted Woodcreeper,19
Xiphorhynchus triangularis,Olive-backed Woodcreeper,4
Dendroplex picus,Straight-billed Woodcreeper,8
Dendroplex kienerii,Zimmer's Woodcreeper,0
Campylorhamphus trochilirostris,Red-billed Scythebill,7
Campylorhamphus falcularius,Black-billed Scythebill,0
Campylorhamphus procurvoides,Curve-billed Scythebill,0
Campylorhamphus pusillus,Brown-billed Scythebill,5
Drymotoxeres pucheranii,Greater Scythebill,1
Drymornis bridgesii,Scimitar-billed Woodcreeper,1
Lepidocolaptes souleyetii,Streak-headed Woodcreeper,27
Lepidocolaptes angustirostris,Narrow-billed Woodcreeper,3
Lepidocolaptes leucogaster,White-striped Woodcreeper,2
Lepidocolaptes affinis,Spot-crowned Woodcreeper,16
Lepidocolaptes lacrymiger,Montane Woodcreeper,8
Lepidocolaptes squamatus,Scaled Woodcreeper,1
Lepidocolaptes falcinellus,Scalloped Woodcreeper,0
Lepidocolaptes duidae,Duida Woodcreeper,1
Lepidocolaptes albolineatus,Guianan Woodcreeper,1
Lepidocolaptes fatimalimae,Inambari Woodcreeper,2
Lepidocolaptes fuscicapillus,Rondonia Woodcreeper,0
Lepidocolaptes layardi,Layard's Woodcreeper,0
Xenops tenuirostris,Slender-billed Xenops,2
Xenops minutus,Plain Xenops,23
Xenops rutilans,Streaked Xenops,11
Berlepschia rikeri,Point-tailed Palmcreeper,3
Microxenops milleri,Rufous-tailed Xenops,1
Pygarrhichas albogularis,White-throated Treerunner,4
Ochetorhynchus andaecola,Rock Earthcreeper,2
Ochetorhynchus ruficaudus,Straight-billed Earthcreeper,0
Ochetorhynchus phoenicurus,Band-tailed Earthcreeper,2
Ochetorhynchus melanurus,Crag Chilia,1
Pseudocolaptes lawrencii,Buffy Tuftedcheek,8
Pseudocolaptes boissonneautii,Streaked Tuftedcheek,6
Premnornis guttuliger,Rusty-winged Barbtail,3
Tarphonomus harterti,Bolivian Earthcreeper,0
Tarphonomus certhioides,Chaco Earthcreeper,0
Furnarius figulus,Wing-banded Hornero,1
Furnarius leucopus,Pale-legged Hornero,10
Furnarius torridus,Pale-billed Hornero,0
Furnarius minor,Lesser Hornero,3
Furnarius rufus,Rufous Hornero,6
Furnarius cristatus,Crested Hornero,0
Lochmias nematura,Sharp-tailed Streamcreeper,2
Phleocryptes melanops,Wren-like Rushbird,6
Limnornis curvirostris,Curve-billed Reedhaunter,2
Geocerthia serrana,Striated Earthcreeper,0
Upucerthia saturatior,Patagonian Forest Earthcreeper,1
Upucerthia dumetaria,Scale-throated Earthcreeper,3
Upucerthia albigula,White-throated Earthcreeper,1
Upucerthia validirostris,Buff-breasted Earthcreeper,4
Cinclodes pabsti,Long-tailed Cinclodes,0
Cinclodes fuscus,Buff-winged Cinclodes,5
Cinclodes antarcticus,Blackish Cinclodes,2
Cinclodes comechingonus,Cordoba Cinclodes,0
Cinclodes albidiventris,Chestnut-winged Cinclodes,4
Cinclodes olrogi,Olrog's Cinclodes,0
Cinclodes albiventris,Cream-winged Cinclodes,4
Cinclodes oustaleti,Gray-flanked Cinclodes,3
Cinclodes excelsior,Stout-billed Cinclodes,6
Cinclodes aricomae,Royal Cinclodes,1
Cinclodes palliatus,White-bellied Cinclodes,1
Cinclodes atacamensis,White-winged Cinclodes,6
Cinclodes patagonicus,Dark-bellied Cinclodes,4
Cinclodes taczanowskii,Surf Cinclodes,1
Cinclodes nigrofumosus,Seaside Cinclodes,1
Anabazenops dorsalis,Dusky-cheeked Foliage-gleaner,3
Anabazenops fuscus,White-collared Foliage-gleaner,0
Megaxenops parnaguae,Great Xenops,0
Cichlocolaptes leucophrus,Pale-browed Treehunter,0
Cichlocolaptes mazarbarnetti,Cryptic Treehunter,0
Heliobletus contaminatus,Sharp-billed Treehunter,0
Philydor fuscipenne,Slaty-winged Foliage-gleaner,1
Philydor erythrocercum,Rufous-rumped Foliage-gleaner,2
Philydor erythropterum,Chestnut-winged Foliage-gleaner,4
Philydor novaesi,Alagoas Foliage-gleaner,0
Philydor atricapillus,Black-capped Foliage-gleaner,1
Philydor rufum,Buff-fronted Foliage-gleaner,7
Philydor pyrrhodes,Cinnamon-rumped Foliage-gleaner,2
Anabacerthia variegaticeps,Scaly-throated Foliage-gleaner,7
Anabacerthia striaticollis,Montane Foliage-gleaner,7
Anabacerthia ruficaudata,Rufous-tailed Foliage-gleaner,3
Anabacerthia amaurotis,White-browed Foliage-gleaner,0
Anabacerthia lichtensteini,Ochre-breasted Foliage-gleaner,2
Syndactyla guttulata,Guttulate Foliage-gleaner,1
Syndactyla subalaris,Lineated Foliage-gleaner,11
Syndactyla rufosuperciliata,Buff-browed Foliage-gleaner,4
Syndactyla ruficollis,Rufous-necked Foliage-gleaner,0
Syndactyla dimidiata,Russet-mantled Foliage-gleaner,0
Syndactyla roraimae,White-throated Foliage-gleaner,0
Syndactyla ucayalae,Peruvian Recurvebill,1
Syndactyla striata,Bolivian Recurvebill,0
Ancistrops strigilatus,Chestnut-winged Hookbill,3
Clibanornis rectirostris,Chestnut-capped Foliage-gleaner,0
Clibanornis dendrocolaptoides,Canebrake Groundcreeper,0
Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,1
Clibanornis rubiginosus,Ruddy Foliage-gleaner,2
Clibanornis rufipectus,Santa Marta Foliage-gleaner,2
Thripadectes ignobilis,Uniform Treehunter,2
Thripadectes flammulatus,Flammulated Treehunter,3
Thripadectes scrutator,Rufous-backed Treehunter,0
Thripadectes holostictus,Striped Treehunter,3
Thripadectes virgaticeps,Streak-capped Treehunter,4
Thripadectes rufobrunneus,Streak-breasted Treehunter,7
Thripadectes melanorhynchus,Black-billed Treehunter,3
Automolus rufipileatus,Chestnut-crowned Foliage-gleaner,3
Automolus melanopezus,Brown-rumped Foliage-gleaner,2
Automolus ochrolaemus,Buff-throated Foliage-gleaner,9
Automolus exsertus,Chiriqui Foliage-gleaner,8
Automolus subulatus,Striped Woodhaunter,4
Automolus infuscatus,Olive-backed Foliage-gleaner,3
Automolus paraensis,Para Foliage-gleaner,0
Automolus lammi,Pernambuco Foliage-gleaner,0
Automolus leucophthalmus,White-eyed Foliage-gleaner,2
Premnoplex brunnescens,Spotted Barbtail,18
Premnoplex tatei,White-throated Barbtail,0
Margarornis bellulus,Beautiful Treerunner,0
Margarornis rubiginosus,Ruddy Treerunner,14
Margarornis stellatus,Fulvous-dotted Treerunner,0
Margarornis squamiger,Pearled Treerunner,8
Aphrastura spinicauda,Thorn-tailed Rayadito,4
Aphrastura masafuerae,Masafuera Rayadito,0
Sylviorthorhynchus desmursii,Des Murs's Wiretail,4
Leptasthenura fuliginiceps,Brown-capped Tit-Spinetail,3
Leptasthenura yanacensis,Tawny Tit-Spinetail,0
Leptasthenura platensis,Tufted Tit-Spinetail,2
Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail,4
Leptasthenura striolata,Striolated Tit-Spinetail,0
Leptasthenura pileata,Rusty-crowned Tit-Spinetail,2
Leptasthenura xenothorax,White-browed Tit-Spinetail,1
Leptasthenura striata,Streaked Tit-Spinetail,2
Leptasthenura andicola,Andean Tit-Spinetail,6
Leptasthenura setaria,Araucaria Tit-Spinetail,0
Phacellodomus rufifrons,Rufous-fronted Thornbird,3
Phacellodomus striaticeps,Streak-fronted Thornbird,1
Phacellodomus sibilatrix,Little Thornbird,0
Phacellodomus dorsalis,Chestnut-backed Thornbird,1
Phacellodomus maculipectus,Spot-breasted Thornbird,1
Phacellodomus striaticollis,Freckle-breasted Thornbird,2
Phacellodomus ruber,Greater Thornbird,2
Phacellodomus erythrophthalmus,Orange-eyed Thornbird,0
Phacellodomus ferrugineigula,Orange-breasted Thornbird,0
Hellmayrea gularis,White-browed Spinetail,5
Anumbius annumbi,Firewood-gatherer,0
Coryphistera alaudina,Lark-like Brushrunner,1
Asthenes dorbignyi,Creamy-breasted Canastero,3
Asthenes berlepschi,Berlepsch's Canastero,0
Asthenes baeri,Short-billed Canastero,0
Asthenes luizae,Cipo Canastero,0
Asthenes hudsoni,Hudson's Canastero,0
Asthenes anthoides,Austral Canastero,2
Asthenes urubambensis,Line-fronted Canastero,0
Asthenes flammulata,Many-striped Canastero,5
Asthenes virgata,Junin Canastero,1
Asthenes maculicauda,Scribble-tailed Canastero,1
Asthenes wyatti,Streak-backed Canastero,0
Asthenes sclateri,Puna Canastero,1
Asthenes humilis,Streak-throated Canastero,0
Asthenes modesta,Cordilleran Canastero,3
Asthenes moreirae,Itatiaia Spinetail,0
Asthenes pyrrholeuca,Sharp-billed Canastero,2
